Domain	Phylum	Class	Order	Family	Genus
0a14596795d38a7401cdd5ea843b5dc5	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas
4a5d2e925f67673654289a7539106d81	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	Thiomicrorhabdus
95ddd03e169fd86ad4c9e5b25f39e35b	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
893f6d8b26bf0689c488a10958d3e2cb	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1
ba8f8478ff34b713883204780a8871bb	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Comamonadaceae_unclassified
8844ea49b78e3b3a6dce4e0a13b8a3cf	Archaea	Halobacterota	ANME-1	ANME-1a	ANME-1a_fa	ANME-1a_ge
335a614189de72c96203fdf73c799c41	Bacteria	Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	Bacteroidetes_VC2.1_Bac22_fa	Bacteroidetes_VC2.1_Bac22_ge
aea4d900fa5af26185949edbf4a5e2ce	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
03769489ce4f0490d7a868438e8a4783	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas
ce07d63bd69238313b7515ec0700d783	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfurivibrionaceae	Desulfurivibrio
55608187f5c4cfe1eb508c43f5512d41	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Hydrogenophilaceae	Thiobacillus
9b8558572007765c06bd0c045f2dc3d8	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
9e90da21b5664289195b0b5896a857ab	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	ANME-2a-2b	ANME-2a-2b_ge
8428c2dcafb0f9e71c1fd8e411b74251	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1
a9daefb37ac41a04472095eb0113e42e	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Syntrophaceae	Syntrophus
62535e90c41cf7ed38e5302c5cf7c934	Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium
2c73dc3d89a72b394608f47362f9e0a9	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
18867ca7f85d9ca8ceecfd3387f01dfb	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	Candidatus_Moranbacteria_fa	Candidatus_Moranbacteria_ge
e01b9bb9c7dc482334abc6e7bef0fa75	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planomicrobium
73f61ed29758f734a60db53323ad7193	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1
387e76ac4df3b8eddacb0b426c5651e6	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1
cc89956d17d1884595e71217e7a18f04	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
98c0ec25cc084c76cf78f22ba01f1ac2	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
8f550b5ebccb27a739b9c1c7b37eeb06	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonadaceae_unclassified
0cbbca445e320a27df4bf129bffef61c	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
