Sample;CopyNb
Core1 0-10 cm;2722.92106551825
Core1 0-10 cm;1962.84904030199
Core1 0-10 cm;1582.12610590303
Core1 10-20 cm;235.298639903681
Core1 10-20 cm;289.098947802846
Core1 10-20 cm;256.538115476673
Core1 20-30 cm;8285.26949001338
Core1 20-30 cm;1590.8788937904
Core1 20-30 cm;1348.18959511588
Core1 30-40 cm;5482.19011162014
Core1 30-40 cm;1238.61774230122
Core1 30-40 cm;1635.01234158233
Core1 40-50 cm;1099.0217929695
Core1 40-50 cm;720.241994988982
Core1 40-50 cm;647.295237284383
Core1 50-60 cm;3747.48223839724
Core1 50-60 cm;2738.44710521229
Core1 50-60 cm;2152.50825151141
Core1 60-70 cm;10342.5064935051
Core1 60-70 cm;5157.24558399091
Core1 60-70 cm;5385.71180710432
Core1 70-80 cm;3318.67803061797
Core1 70-80 cm;1733.7372439932
Core1 70-80 cm;1663.08247566854
Core1 80-90 cm;25796.7019504172
Core1 80-90 cm;19891.4869982166
Core1 80-90 cm;15170.2303129693
Core1 90-100 cm;134525.450666308
Core1 90-100 cm;145598.927117129
Core1 90-100 cm;119289.069924945
Core2 0-10 cm;40.7137722432274
Core2 0-10 cm;50.5700766466103
Core2 0-10 cm;74.2751461537203
Core2 10-20 cm;456.680324735011
Core2 10-20 cm;502.553050712606
Core2 10-20 cm;501.440875108582
Core2 100-110 cm;340267.756152248
Core2 100-110 cm;403710.974260221
Core2 100-110 cm;293232.647596668
Core2 20-30 cm;1843.76606062702
Core2 20-30 cm;1314.0438412106
Core2 20-30 cm;1019.04583105433
Core2 30-40 cm;1945.59149393396
Core2 30-40 cm;1535.35211602629
Core2 30-40 cm;1625.125267788
Core2 40-50 cm;2606.62936048151
Core2 40-50 cm;2462.5698399193
Core2 40-50 cm;2699.19166902895
Core2 50-60 cm;2798.38885212937
Core2 50-60 cm;2723.41063642759
Core2 50-60 cm;2781.5002180151
Core2 60-70 cm;5153.17474689471
Core2 60-70 cm;5019.70483189611
Core2 60-70 cm;5137.55625941173
Core2 70-80 cm;3757.41994906499
Core2 70-80 cm;3626.47223433997
Core2 70-80 cm;3794.81045708161
Core2 80-90 cm;6169.33369205357
Core2 80-90 cm;5856.07055159896
Core2 80-90 cm;6248.35840634772
Core2 90-100 cm;66321.3252603995
Core2 90-100 cm;47478.7857323996
Core2 90-100 cm;40035.0323418326
Core3 0-10 cm;1414.0006851288
Core3 0-10 cm;1197.79050132661
Core3 0-10 cm;1396.54122667567
Core3 10-20 cm;286.940228063067
Core3 10-20 cm;259.54177578912
Core3 10-20 cm;237.71390748773
Core3 20-30 cm;415.122994201674
Core3 20-30 cm;298.023892968198
Core3 20-30 cm;348.043393978228
Core3 30-40 cm;779.584753412789
Core3 30-40 cm;719.952462105524
Core3 30-40 cm;702.389000570983
Core3 40-50 cm;2084.31675032449
Core3 40-50 cm;1204.26230878467
Core3 40-50 cm;1780.67542059617
Core3 50-60 cm;3279.35705557302
Core3 50-60 cm;2687.43628860667
Core3 50-60 cm;3045.33750369374
Core3 60-70 cm;1487.88264845301
Core3 60-70 cm;1258.04083468592
Core3 60-70 cm;712.995653366406
Core3 70-80 cm;10250.5207797575
Core3 70-80 cm;8972.52450207956
Core3 70-80 cm;9019.59130976943
Core3 80-90 cm;23296.2883042824
Core3 80-90 cm;24010.0843249111
Core3 80-90 cm;23954.1375086729
Core3 90-100 cm;295600.950999378
Core3 90-100 cm;266359.184087157
Core3 90-100 cm;284385.864395979
Snow1;8958.49477661537
Snow1;3408.80913724259
Snow1;3276.05309344042
Snow2;20359.6034664883
Snow2;10813.9451774948
Snow2;11453.1133745343
Snow3;24815.6846820429
Snow3;15671.741047783
Snow3;10804.6269553096
Snow4;10811.8351499255
Snow4;6865.4819967617
Snow4;5935.53548840547
Snow5;26346.4422864962
Snow5;12484.501377891
Snow5;10034.1388267014
Snow6;33074.1419209712
Snow6;15138.8513965519
Snow6;11198.5518269112
Snow7;9813.19638214442
Snow7;3780.13232872864
Snow7;3499.86813541425
Water1;93489.0921430117
Water1;58553.3445146657
Water1;56781.359699166
Water2;137334.871417386
Water2;105579.204401325
Water2;132241.305963837
Water3;100443.240050257
Water3;75994.7784327044
Water3;78101.6387451587
